Txhash,                        BlockTimeUnix,                        BlockTime,                        Fee(SOL),                        TokenAccount,                        ChangeType,                        ChangeAmount,                        PreBalancer,                        PostBalancer,                        TokenAddress,                        TokenDecimals,                        TokenMultiplier
k1RWcQ82VJUQCij6QGvHqfvL76BsKo8DGfUvTqnCga4k7jE17D9q8pCoDEcmx3ykzHdMfvpV9Xu9o8mFV7xeVPf,1783021066,2026-07-02T19:37:46,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,991530760000000,991253080000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
5E4yjWFYEhRAJzigpZDSkGwFpB72eY8b36qkHJyvAtz9xcLt9MyANAjjKcAmHkLRwTP1UQfKutSEmQGQ7jdxK4BX,1783021065,2026-07-02T19:37:45,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,991808440000000,991530760000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
2jt31Rq5vLzPuziKFVcaNhfvVEtxwwfMLxxgDmm5cnbyEiM6ftREEuBcxdu97krZP2RMSFkwagkRq1BYj2dKVkb8,1783021063,2026-07-02T19:37:43,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,992086120000000,991808440000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
37xBvUJ9hYmhn6hjbXFkrXnmtL6CveJrfA2hmay1h7NPTfmQ1QGQmjVU53donhyfKk7JdmcyXNJ2NpmnY2xvroLn,1783021047,2026-07-02T19:37:27,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,992363800000000,992086120000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
55q4HN5dpyGtvYixxYUnt3ZkzAta23oRwsYFfjHUGceHLXnqJjKT1HCQu7z7TBmgsZr1LMmWud3DttWne6Yeuyep,1783021040,2026-07-02T19:37:20,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,992641480000000,992363800000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
2GZ4BYGDQrzMahrsX9jCMcmiaGhh5944ZMFQMUFrJktYXyNwqfjiW5aXvFTX8ZKXhN95g1THHW1z8gDj3akE2AS5,1783021037,2026-07-02T19:37:17,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,992919160000000,992641480000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
2STWk5cvmsyJ2gM2m2Vf8ggBa7Eiq4W7BiNdcUQV4wVjSkmxHynJfBWHjYg4Q2aRzUh8cd7jkDPtfL9i4AA5NBb4,1783021035,2026-07-02T19:37:15,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,993196840000000,992919160000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
4LdXS3YSc2PgHuD55hYjYRxQxGr45KMwPcXVi8QFPsiG4ThJQYym89MWMZKxHaGMR77KES6FhnWgvZwNj4cwSPzc,1783021033,2026-07-02T19:37:13,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,993474520000000,993196840000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
5QnS8WKznyHswsyL19crrAXNu9a4wYvcHzkbLdxzSKY8gRYrqEvwNHGTzj1n2ZQFY9STZQeLxEtYdyzoDaLStmPo,1783021031,2026-07-02T19:37:11,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,993752200000000,993474520000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
611rAe3f75h9p37SbpcKVtqX8b9afFdp6RcNK5LawxNkkbW5u3iPpqVjx8BgzCqfrJWWRZ2pPG1Sg3XhTHXuPkxM,1783021029,2026-07-02T19:37:09,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,994029880000000,993752200000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
5hJxV52o71gEViXeyKoXLCZFSimd6Zndm8gSYcZC4b9CnYVzBdXsgKzjt3Q4UQDoE2zEz37UzwJLfc7LeXaNr26n,1783021027,2026-07-02T19:37:07,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,994307560000000,994029880000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
5QzPJWRuuFPYbANkyDc1i6BAGmJSh7EkCaFXmivKZN9aKcY3jydKnWBXwRRGvzkGzeqocFGPSGRKF7wVRY8Vexaj,1783021026,2026-07-02T19:37:06,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,994585240000000,994307560000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
2PobgVquDky1M36jrw9zYExw4RkYK2JqmK5gQxv9Jhn6gwh8jxyPoZj2e8krw5ho8wNqyL7G8btMB7puKcwd1qxP,1783021023,2026-07-02T19:37:03,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,208260000000,994793500000000,994585240000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
2mQUvSyMsbydW7Zm2NZfmQJPkFbcBPRURbtiw8qtKXLjN5KohQuBaaYzadRnz2thwbk7562ZtcvWsuqxEioPMxC,1783018361,2026-07-02T18:52:41,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,995071180000000,994793500000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
4o7zudCfXmUQQ4J6JXEPPFwHna1Q1DLK82AuHVvjqabVmBa9kKhfTRfTHxsfBcFcW5EEohGSh1FzQgkwdMiJvvop,1783018360,2026-07-02T18:52:40,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,995348860000000,995071180000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
3eVhwT9Paz4gNC9PHkmSPv9QBzAYk29N2kGYTFhiVZdgGRpH5mDqTd1XcSosZ7bLC4fsqR8vLon45myu3461oq6K,1783018358,2026-07-02T18:52:38,0.000005,FeGFufFSSejBU9oAkh2Pg78ZcgPXSjYncyQRVxgBRGr9,dec,277680000000,995626540000000,995348860000000,J2R45SvjRYGgFFWm6o3DNZobRE46o6QjeeqVXAJ9SSMS,9,1.0
